,0,1,2,accuracy
arb_md_dtree_f1_scores,True,True,False,0.6666666666666666
arb_md_gnb_f1_scores,True,True,False,0.6666666666666666
arb_md_knn_f1_scores,True,False,False,0.3333333333333333
arb_md_mlp_f1_scores,True,False,False,0.3333333333333333
arb_md_svc_f1_scores,True,True,False,0.6666666666666666
arb_mdi_dtree_f1_scores,True,True,True,1.0
arb_mdi_gnb_f1_scores,True,True,False,0.6666666666666666
arb_mdi_knn_f1_scores,True,True,False,0.6666666666666666
arb_mdi_mlp_f1_scores,True,True,True,1.0
arb_mdi_svc_f1_scores,True,False,False,0.3333333333333333
arb_mdic_dtree_f1_scores,True,False,False,0.3333333333333333
arb_mdic_gnb_f1_scores,True,True,False,0.6666666666666666
arb_mdic_knn_f1_scores,True,False,False,0.3333333333333333
arb_mdic_mlp_f1_scores,True,True,False,0.6666666666666666
arb_mdic_svc_f1_scores,True,False,False,0.3333333333333333
borda_f1_scores,True,False,False,0.3333333333333333
cmb_dtree_f1_scores,True,False,False,0.3333333333333333
cmb_gnb_f1_scores,True,False,False,0.3333333333333333
cmb_knn_f1_scores,True,True,False,0.6666666666666666
cmb_mlp_f1_scores,True,True,False,0.6666666666666666
cmb_svc_f1_scores,True,True,True,1.0
copeland_f1_scores,True,True,False,0.6666666666666666
dowdall_f1_scores,False,False,False,0.0
dtree_f1_scores,True,True,False,0.6666666666666666
gnb_f1_scores,True,False,False,0.3333333333333333
knn_f1_scores,True,True,False,0.6666666666666666
mean_f1_scores,True,True,False,0.6666666666666666
median_f1_scores,True,False,False,0.3333333333333333
mlp_f1_scores,False,False,False,0.0
plurality_f1_scores,True,True,False,0.6666666666666666
simpson_f1_scores,True,True,True,1.0
svc_f1_scores,True,True,False,0.6666666666666666
